Year,Working group,"""New"" subgroup",Report Section,Priority,Request,Source,Progress,Memo Order,Products/ things to work on,New Data opportunities,Notes,Actions
2019,Human dimension,,MAFMC Risk Assessment,2,Management complexity,MAFMC,"in progress; student work needs further analysis, no further work in 2020",23,Complete current project ,Summer student project last year,,
2019,LTL/Climate/Habitat,Ecosystem productiivty,Fish and Invertebrates LINK TO Habitat Quality and Ecosystem Productivity,3,Shellfish growth/distribution linked to climate (system productivity),MAFMC,in progress; project with R Mann student to start 2021,21,Heat wave stuff (Vince),(Roger Mann VIMS data Contribution),,
2019,LTL/Climate/Habitat,,Economic and Social (new section Other Ocean Uses?),3,Estuarine condition relative to power plants and temp,MAFMC,unable to start in 2020,29,,"(McKinney 2010, Kim Hyde also on this paper)",,
2019,Megafauna,,Fish and Invertebrates LINK TO Habitat Quality and Ecosystem Productivity,1,Avg weight of diet components by feeding group,Internal,in progress; part of fish condition,19,Food habits summaries,Bigelow + NEAMAP + longline + seabirds?,"If jellies show up as fluctuating, could be a place to link abundance time series in",
2019,Megafauna,,Fish and Invertebrates LINK TO Habitat Quality and Ecosystem Productivity,3,Mean stomach weight across feeding guilds,MAFMC,in progress; stomach fullness analysis started--species level,20,Food habits summaries,Bigelow + NEAMAP + longline + seabirds?,,
2019,Megafauna,,Fish and Invertebrates,3,Young of Year index from multiple surveys,MAFMC,unable to start in 2020,27,,Bigelow + NEAMAP + CHESMAP/other state surveys? + seabirds?,Evaluate resources to do,
2019,Methods/Thresholds,,All,1,Inflection points for indicators,Both Councils,unable to start in 2020,30,Determining thresholds,All datasets,,
2020,All,,Social link to Environment,1,Linking Condition ,MAFMC,in progress; not ready for 2021,18,,,"length/weight at age, gaussian network model blue crab example, SEM",
2020,All,,All,,Re-evaluate EPUs,NEFMC,unable to start in 2020,33,,,Determine thresholds for re-evaluation. ,
2020,Human Dimension,,Social link to Environment,,Incorporate social sciences survey from council,NEFMC,unable to start in 2020,26,First step will be to crosswalk indicators with priority concerns expressed,,,
